General,Plan,Plan_Tarifario,Tipo,Equipo,Modo_Cobro,Contado_CuotaInicial,ContadoOnline_CantidadCuota
Oppo A54|CONTADO|17% dto. EXCLUSIVO ONLINE 882 769 |39.9,CONTADO,39.9,"39.9 Dto. por 12 meses, luego 31.95 31.95",Oppo A54,,,EXCLUSIVO ONLINE 882 769 
"Oppo A54|CUOTA|S/ 615 12 CUOTAS DE: 66 |39.9 Dto. por 12 meses, luego 31.95 31.95",CUOTA,39.9,"39.9 Dto. por 12 meses, luego 31.95 31.95",Oppo A54,,,
"Oppo A54|CUOTA|S/ 219 18 CUOTAS DE: 66 |39.9 Dto. por 12 meses, luego 31.95 31.95",CUOTA,39.9,"39.9 Dto. por 12 meses, luego 31.95 31.95",Oppo A54,,,
"Oppo A54|CONTADO|17% dto. EXCLUSIVO ONLINE 882 769 |55.9 Dto. por 12 meses, luego 44.75 44.75",CONTADO,55.9,"55.9 Dto. por 12 meses, luego 44.75 44.75",Oppo A54,,,EXCLUSIVO ONLINE 882 769 
"Oppo A54|CUOTA|S/ 609 12 CUOTAS DE: 75 |55.9 Dto. por 12 meses, luego 44.75 44.75",CUOTA,55.9,"55.9 Dto. por 12 meses, luego 44.75 44.75",Oppo A54,,,
"Oppo A54|CUOTA|S/ 159 18 CUOTAS DE: 75 |55.9 Dto. por 12 meses, luego 44.75 44.75",CUOTA,55.9,"55.9 Dto. por 12 meses, luego 44.75 44.75",Oppo A54,,,
"Oppo A54|CONTADO|17% dto. EXCLUSIVO ONLINE 882 729 |74.9 Dto. por 12 meses, luego 59.95 59.95",CONTADO,74.9,"74.9 Dto. por 12 meses, luego 59.95 59.95",Oppo A54,,,EXCLUSIVO ONLINE 882 729 
"Oppo A54|CUOTA|S/ 504 12 CUOTAS DE: 84 |74.9 Dto. por 12 meses, luego 59.95 59.95",CUOTA,74.9,"74.9 Dto. por 12 meses, luego 59.95 59.95",Oppo A54,,,
"Oppo A54|CUOTA|S/ 0 18 CUOTAS DE: 84 |74.9 Dto. por 12 meses, luego 59.95 59.95",CUOTA,74.9,"74.9 Dto. por 12 meses, luego 59.95 59.95",Oppo A54,,,
"Oppo A54|CONTADO|17% dto. EXCLUSIVO ONLINE 882 729 |89.9 Dto. por 12 meses, luego 71.95 71.95",CONTADO,89.9,"89.9 Dto. por 12 meses, luego 71.95 71.95",Oppo A54,,,EXCLUSIVO ONLINE 882 729 
"Oppo A54|CUOTA|S/ 438 12 CUOTAS DE: 73 |89.9 Dto. por 12 meses, luego 71.95 71.95",CUOTA,89.9,"89.9 Dto. por 12 meses, luego 71.95 71.95",Oppo A54,,,
"Oppo A54|CUOTA|S/ 0 18 CUOTAS DE: 73 |89.9 Dto. por 12 meses, luego 71.95 71.95",CUOTA,89.9,"89.9 Dto. por 12 meses, luego 71.95 71.95",Oppo A54,,,
"Oppo A54|CONTADO|17% dto. EXCLUSIVO ONLINE 882 729 |99.9 Dto. por 12 meses, luego 79.95 79.95",CONTADO,99.9,"99.9 Dto. por 12 meses, luego 79.95 79.95",Oppo A54,,,EXCLUSIVO ONLINE 882 729 
"Oppo A54|CUOTA|S/ 438 12 CUOTAS DE: 73 |99.9 Dto. por 12 meses, luego 79.95 79.95",CUOTA,99.9,"99.9 Dto. por 12 meses, luego 79.95 79.95",Oppo A54,,,
"Oppo A54|CUOTA|S/ 0 18 CUOTAS DE: 73 |99.9 Dto. por 12 meses, luego 79.95 79.95",CUOTA,99.9,"99.9 Dto. por 12 meses, luego 79.95 79.95",Oppo A54,,,
"Oppo A54|CONTADO|17% dto. EXCLUSIVO ONLINE 882 729 |109.9 Dto. por 12 meses, luego 87.95 87.95",CONTADO,109.9,"109.9 Dto. por 12 meses, luego 87.95 87.95",Oppo A54,,,EXCLUSIVO ONLINE 882 729 
"Oppo A54|CUOTA|S/ 414 12 CUOTAS DE: 69 |109.9 Dto. por 12 meses, luego 87.95 87.95",CUOTA,109.9,"109.9 Dto. por 12 meses, luego 87.95 87.95",Oppo A54,,,
"Oppo A54|CUOTA|S/ 0 18 CUOTAS DE: 69 |109.9 Dto. por 12 meses, luego 87.95 87.95",CUOTA,109.9,"109.9 Dto. por 12 meses, luego 87.95 87.95",Oppo A54,,,
"Oppo A54|CONTADO|17% dto. EXCLUSIVO ONLINE 882 729 |129.9 Dto. por 12 meses, luego 103.95 103.95",CONTADO,129.9,"129.9 Dto. por 12 meses, luego 103.95 103.95",Oppo A54,,,EXCLUSIVO ONLINE 882 729 
"Oppo A54|CUOTA|S/ 414 12 CUOTAS DE: 69 |129.9 Dto. por 12 meses, luego 103.95 103.95",CUOTA,129.9,"129.9 Dto. por 12 meses, luego 103.95 103.95",Oppo A54,,,
"Oppo A54|CUOTA|S/ 0 18 CUOTAS DE: 69 |129.9 Dto. por 12 meses, luego 103.95 103.95",CUOTA,129.9,"129.9 Dto. por 12 meses, luego 103.95 103.95",Oppo A54,,,
"Oppo A54|CONTADO|17% dto. EXCLUSIVO ONLINE 882 729 |159.5 Dto. por 12 meses, luego 127.60 127.60",CONTADO,159.5,"159.5 Dto. por 12 meses, luego 127.60 127.60",Oppo A54,,,EXCLUSIVO ONLINE 882 729 
"Oppo A54|CUOTA|S/ 414 12 CUOTAS DE: 69 |159.5 Dto. por 12 meses, luego 127.60 127.60",CUOTA,159.5,"159.5 Dto. por 12 meses, luego 127.60 127.60",Oppo A54,,,
"Oppo A54|CUOTA|S/ 0 18 CUOTAS DE: 69 |159.5 Dto. por 12 meses, luego 127.60 127.60",CUOTA,159.5,"159.5 Dto. por 12 meses, luego 127.60 127.60",Oppo A54,,,
"Oppo A54|CONTADO|17% dto. EXCLUSIVO ONLINE 882 679 |209.5 Dto. por 12 meses, luego 167.50 167.50",CONTADO,209.5,"209.5 Dto. por 12 meses, luego 167.50 167.50",Oppo A54,,,EXCLUSIVO ONLINE 882 679 
"Oppo A54|CUOTA|S/ 414 12 CUOTAS DE: 69 |209.5 Dto. por 12 meses, luego 167.50 167.50",CUOTA,209.5,"209.5 Dto. por 12 meses, luego 167.50 167.50",Oppo A54,,,
"Oppo A54|CUOTA|S/ 0 18 CUOTAS DE: 69 |209.5 Dto. por 12 meses, luego 167.50 167.50",CUOTA,209.5,"209.5 Dto. por 12 meses, luego 167.50 167.50",Oppo A54,,,
"Samsung Galaxy S21 FE 128GB|CONTADO|42% dto. EXCLUSIVO ONLINE 3780 2479 |39.9 Dto. por 12 meses, luego 31.95 31.95",CONTADO,39.9,"39.9 Dto. por 12 meses, luego 31.95 31.95",Samsung Galaxy S21 FE 128GB,,,EXCLUSIVO ONLINE 3780 2479 
"Samsung Galaxy S21 FE 128GB|CONTADO|42% dto. EXCLUSIVO ONLINE 3780 2479 |55.9 Dto. por 12 meses, luego 44.75 44.75",CONTADO,55.9,"55.9 Dto. por 12 meses, luego 44.75 44.75",Samsung Galaxy S21 FE 128GB,,,EXCLUSIVO ONLINE 3780 2479 
"Samsung Galaxy S21 FE 128GB|CUOTA|S/ 0 12 CUOTAS DE: 321 |55.9 Dto. por 12 meses, luego 44.75 44.75",CUOTA,55.9,"55.9 Dto. por 12 meses, luego 44.75 44.75",Samsung Galaxy S21 FE 128GB,,,
"Samsung Galaxy S21 FE 128GB|CUOTA|S/ 0 18 CUOTAS DE: 263 |55.9 Dto. por 12 meses, luego 44.75 44.75",CUOTA,55.9,"55.9 Dto. por 12 meses, luego 44.75 44.75",Samsung Galaxy S21 FE 128GB,,,
"Samsung Galaxy S21 FE 128GB|CONTADO|42% dto. EXCLUSIVO ONLINE 3780 2179 |74.9 Dto. por 12 meses, luego 59.95 59.95",CONTADO,74.9,"74.9 Dto. por 12 meses, luego 59.95 59.95",Samsung Galaxy S21 FE 128GB,,,EXCLUSIVO ONLINE 3780 2179 
"Samsung Galaxy S21 FE 128GB|CUOTA|S/ 0 12 CUOTAS DE: 318 |74.9 Dto. por 12 meses, luego 59.95 59.95",CUOTA,74.9,"74.9 Dto. por 12 meses, luego 59.95 59.95",Samsung Galaxy S21 FE 128GB,,,
"Samsung Galaxy S21 FE 128GB|CUOTA|S/ 0 18 CUOTAS DE: 260 |74.9 Dto. por 12 meses, luego 59.95 59.95",CUOTA,74.9,"74.9 Dto. por 12 meses, luego 59.95 59.95",Samsung Galaxy S21 FE 128GB,,,
"Samsung Galaxy S21 FE 128GB|CONTADO|42% dto. EXCLUSIVO ONLINE 3780 2179 |89.9 Dto. por 12 meses, luego 71.95 71.95",CONTADO,89.9,"89.9 Dto. por 12 meses, luego 71.95 71.95",Samsung Galaxy S21 FE 128GB,,,EXCLUSIVO ONLINE 3780 2179 
"Samsung Galaxy S21 FE 128GB|CUOTA|S/ 0 12 CUOTAS DE: 302 |89.9 Dto. por 12 meses, luego 71.95 71.95",CUOTA,89.9,"89.9 Dto. por 12 meses, luego 71.95 71.95",Samsung Galaxy S21 FE 128GB,,,
"Samsung Galaxy S21 FE 128GB|CUOTA|S/ 0 18 CUOTAS DE: 247 |89.9 Dto. por 12 meses, luego 71.95 71.95",CUOTA,89.9,"89.9 Dto. por 12 meses, luego 71.95 71.95",Samsung Galaxy S21 FE 128GB,,,
"Samsung Galaxy S21 FE 128GB|CONTADO|42% dto. EXCLUSIVO ONLINE 3780 2179 |99.9 Dto. por 12 meses, luego 79.95 79.95",CONTADO,99.9,"99.9 Dto. por 12 meses, luego 79.95 79.95",Samsung Galaxy S21 FE 128GB,,,EXCLUSIVO ONLINE 3780 2179 
"Samsung Galaxy S21 FE 128GB|CUOTA|S/ 0 12 CUOTAS DE: 302 |99.9 Dto. por 12 meses, luego 79.95 79.95",CUOTA,99.9,"99.9 Dto. por 12 meses, luego 79.95 79.95",Samsung Galaxy S21 FE 128GB,,,
"Samsung Galaxy S21 FE 128GB|CUOTA|S/ 0 18 CUOTAS DE: 247 |99.9 Dto. por 12 meses, luego 79.95 79.95",CUOTA,99.9,"99.9 Dto. por 12 meses, luego 79.95 79.95",Samsung Galaxy S21 FE 128GB,,,
"Samsung Galaxy S21 FE 128GB|CONTADO|42% dto. EXCLUSIVO ONLINE 3780 2179 |109.9 Dto. por 12 meses, luego 87.95 87.95",CONTADO,109.9,"109.9 Dto. por 12 meses, luego 87.95 87.95",Samsung Galaxy S21 FE 128GB,,,EXCLUSIVO ONLINE 3780 2179 
"Samsung Galaxy S21 FE 128GB|CUOTA|S/ 0 12 CUOTAS DE: 302 |109.9 Dto. por 12 meses, luego 87.95 87.95",CUOTA,109.9,"109.9 Dto. por 12 meses, luego 87.95 87.95",Samsung Galaxy S21 FE 128GB,,,
"Samsung Galaxy S21 FE 128GB|CUOTA|S/ 0 18 CUOTAS DE: 247 |109.9 Dto. por 12 meses, luego 87.95 87.95",CUOTA,109.9,"109.9 Dto. por 12 meses, luego 87.95 87.95",Samsung Galaxy S21 FE 128GB,,,
"Samsung Galaxy S21 FE 128GB|CONTADO|42% dto. EXCLUSIVO ONLINE 3780 2179 |129.9 Dto. por 12 meses, luego 103.95 103.95",CONTADO,129.9,"129.9 Dto. por 12 meses, luego 103.95 103.95",Samsung Galaxy S21 FE 128GB,,,EXCLUSIVO ONLINE 3780 2179 
"Samsung Galaxy S21 FE 128GB|CUOTA|S/ 0 12 CUOTAS DE: 302 |129.9 Dto. por 12 meses, luego 103.95 103.95",CUOTA,129.9,"129.9 Dto. por 12 meses, luego 103.95 103.95",Samsung Galaxy S21 FE 128GB,,,
"Samsung Galaxy S21 FE 128GB|CUOTA|S/ 0 18 CUOTAS DE: 247 |129.9 Dto. por 12 meses, luego 103.95 103.95",CUOTA,129.9,"129.9 Dto. por 12 meses, luego 103.95 103.95",Samsung Galaxy S21 FE 128GB,,,
"Samsung Galaxy S21 FE 128GB|CONTADO|42% dto. EXCLUSIVO ONLINE 3780 2179 |159.5 Dto. por 12 meses, luego 127.60 127.60",CONTADO,159.5,"159.5 Dto. por 12 meses, luego 127.60 127.60",Samsung Galaxy S21 FE 128GB,,,EXCLUSIVO ONLINE 3780 2179 
"Samsung Galaxy S21 FE 128GB|CUOTA|S/ 0 12 CUOTAS DE: 302 |159.5 Dto. por 12 meses, luego 127.60 127.60",CUOTA,159.5,"159.5 Dto. por 12 meses, luego 127.60 127.60",Samsung Galaxy S21 FE 128GB,,,
"Samsung Galaxy S21 FE 128GB|CUOTA|S/ 0 18 CUOTAS DE: 247 |159.5 Dto. por 12 meses, luego 127.60 127.60",CUOTA,159.5,"159.5 Dto. por 12 meses, luego 127.60 127.60",Samsung Galaxy S21 FE 128GB,,,
"Samsung Galaxy S21 FE 128GB|CONTADO|42% dto. EXCLUSIVO ONLINE 3780 2179 |209.5 Dto. por 12 meses, luego 167.50 167.50",CONTADO,209.5,"209.5 Dto. por 12 meses, luego 167.50 167.50",Samsung Galaxy S21 FE 128GB,,,EXCLUSIVO ONLINE 3780 2179 
"Samsung Galaxy S21 FE 128GB|CUOTA|S/ 0 12 CUOTAS DE: 302 |209.5 Dto. por 12 meses, luego 167.50 167.50",CUOTA,209.5,"209.5 Dto. por 12 meses, luego 167.50 167.50",Samsung Galaxy S21 FE 128GB,,,
"Samsung Galaxy S21 FE 128GB|CUOTA|S/ 0 18 CUOTAS DE: 247 |209.5 Dto. por 12 meses, luego 167.50 167.50",CUOTA,209.5,"209.5 Dto. por 12 meses, luego 167.50 167.50",Samsung Galaxy S21 FE 128GB,,,
"Apple iPhone 13 Pro Max 128GB|CONTADO|19% dto. EXCLUSIVO ONLINE 5850 4749 |39.9 Dto. por 12 meses, luego 31.95 31.95",CONTADO,39.9,"39.9 Dto. por 12 meses, luego 31.95 31.95",Apple iPhone 13 Pro Max 128GB,,,EXCLUSIVO ONLINE 5850 4749 
"Apple iPhone 13 Pro Max 128GB|CUOTA|S/ 4539 12 CUOTAS DE: 198 |39.9 Dto. por 12 meses, luego 31.95 31.95",CUOTA,39.9,"39.9 Dto. por 12 meses, luego 31.95 31.95",Apple iPhone 13 Pro Max 128GB,,,
"Apple iPhone 13 Pro Max 128GB|CONTADO|19% dto. EXCLUSIVO ONLINE 5850 4749 |55.9 Dto. por 12 meses, luego 44.75 44.75",CONTADO,55.9,"55.9 Dto. por 12 meses, luego 44.75 44.75",Apple iPhone 13 Pro Max 128GB,,,EXCLUSIVO ONLINE 5850 4749 
"Apple iPhone 13 Pro Max 128GB|CUOTA|S/ 4539 12 CUOTAS DE: 198 |55.9 Dto. por 12 meses, luego 44.75 44.75",CUOTA,55.9,"55.9 Dto. por 12 meses, luego 44.75 44.75",Apple iPhone 13 Pro Max 128GB,,,
"Apple iPhone 13 Pro Max 128GB|CUOTA|S/ 4539 18 CUOTAS DE: 171 |55.9 Dto. por 12 meses, luego 44.75 44.75",CUOTA,55.9,"55.9 Dto. por 12 meses, luego 44.75 44.75",Apple iPhone 13 Pro Max 128GB,,,
"Apple iPhone 13 Pro Max 128GB|CONTADO|19% dto. EXCLUSIVO ONLINE 5850 4749 |74.9 Dto. por 12 meses, luego 59.95 59.95",CONTADO,74.9,"74.9 Dto. por 12 meses, luego 59.95 59.95",Apple iPhone 13 Pro Max 128GB,,,EXCLUSIVO ONLINE 5850 4749 
"Apple iPhone 13 Pro Max 128GB|CUOTA|S/ 0 12 CUOTAS DE: 502 |74.9 Dto. por 12 meses, luego 59.95 59.95",CUOTA,74.9,"74.9 Dto. por 12 meses, luego 59.95 59.95",Apple iPhone 13 Pro Max 128GB,,,
"Apple iPhone 13 Pro Max 128GB|CUOTA|S/ 0 18 CUOTAS DE: 401 |74.9 Dto. por 12 meses, luego 59.95 59.95",CUOTA,74.9,"74.9 Dto. por 12 meses, luego 59.95 59.95",Apple iPhone 13 Pro Max 128GB,,,
"Apple iPhone 13 Pro Max 128GB|CONTADO|19% dto. EXCLUSIVO ONLINE 5850 4749 |89.9 Dto. por 12 meses, luego 71.95 71.95",CONTADO,89.9,"89.9 Dto. por 12 meses, luego 71.95 71.95",Apple iPhone 13 Pro Max 128GB,,,EXCLUSIVO ONLINE 5850 4749 
"Apple iPhone 13 Pro Max 128GB|CUOTA|S/ 0 12 CUOTAS DE: 471 |89.9 Dto. por 12 meses, luego 71.95 71.95",CUOTA,89.9,"89.9 Dto. por 12 meses, luego 71.95 71.95",Apple iPhone 13 Pro Max 128GB,,,
"Apple iPhone 13 Pro Max 128GB|CUOTA|S/ 0 18 CUOTAS DE: 359 |89.9 Dto. por 12 meses, luego 71.95 71.95",CUOTA,89.9,"89.9 Dto. por 12 meses, luego 71.95 71.95",Apple iPhone 13 Pro Max 128GB,,,
"Apple iPhone 13 Pro Max 128GB|CONTADO|19% dto. EXCLUSIVO ONLINE 5850 4749 |99.9 Dto. por 12 meses, luego 79.95 79.95",CONTADO,99.9,"99.9 Dto. por 12 meses, luego 79.95 79.95",Apple iPhone 13 Pro Max 128GB,,,EXCLUSIVO ONLINE 5850 4749 
"Apple iPhone 13 Pro Max 128GB|CUOTA|S/ 0 12 CUOTAS DE: 471 |99.9 Dto. por 12 meses, luego 79.95 79.95",CUOTA,99.9,"99.9 Dto. por 12 meses, luego 79.95 79.95",Apple iPhone 13 Pro Max 128GB,,,
"Apple iPhone 13 Pro Max 128GB|CUOTA|S/ 0 18 CUOTAS DE: 359 |99.9 Dto. por 12 meses, luego 79.95 79.95",CUOTA,99.9,"99.9 Dto. por 12 meses, luego 79.95 79.95",Apple iPhone 13 Pro Max 128GB,,,
"Apple iPhone 13 Pro Max 128GB|CONTADO|19% dto. EXCLUSIVO ONLINE 5850 4749 |109.9 Dto. por 12 meses, luego 87.95 87.95",CONTADO,109.9,"109.9 Dto. por 12 meses, luego 87.95 87.95",Apple iPhone 13 Pro Max 128GB,,,EXCLUSIVO ONLINE 5850 4749 
"Apple iPhone 13 Pro Max 128GB|CUOTA|S/ 0 12 CUOTAS DE: 471 |109.9 Dto. por 12 meses, luego 87.95 87.95",CUOTA,109.9,"109.9 Dto. por 12 meses, luego 87.95 87.95",Apple iPhone 13 Pro Max 128GB,,,
"Apple iPhone 13 Pro Max 128GB|CUOTA|S/ 0 18 CUOTAS DE: 359 |109.9 Dto. por 12 meses, luego 87.95 87.95",CUOTA,109.9,"109.9 Dto. por 12 meses, luego 87.95 87.95",Apple iPhone 13 Pro Max 128GB,,,
"Apple iPhone 13 Pro Max 128GB|CONTADO|19% dto. EXCLUSIVO ONLINE 5850 4749 |129.9 Dto. por 12 meses, luego 103.95 103.95",CONTADO,129.9,"129.9 Dto. por 12 meses, luego 103.95 103.95",Apple iPhone 13 Pro Max 128GB,,,EXCLUSIVO ONLINE 5850 4749 
"Apple iPhone 13 Pro Max 128GB|CUOTA|S/ 0 12 CUOTAS DE: 471 |129.9 Dto. por 12 meses, luego 103.95 103.95",CUOTA,129.9,"129.9 Dto. por 12 meses, luego 103.95 103.95",Apple iPhone 13 Pro Max 128GB,,,
"Apple iPhone 13 Pro Max 128GB|CUOTA|S/ 0 18 CUOTAS DE: 359 |129.9 Dto. por 12 meses, luego 103.95 103.95",CUOTA,129.9,"129.9 Dto. por 12 meses, luego 103.95 103.95",Apple iPhone 13 Pro Max 128GB,,,
"Apple iPhone 13 Pro Max 128GB|CONTADO|19% dto. EXCLUSIVO ONLINE 5850 4749 |159.5 Dto. por 12 meses, luego 127.60 127.60",CONTADO,159.5,"159.5 Dto. por 12 meses, luego 127.60 127.60",Apple iPhone 13 Pro Max 128GB,,,EXCLUSIVO ONLINE 5850 4749 
"Apple iPhone 13 Pro Max 128GB|CUOTA|S/ 0 12 CUOTAS DE: 471 |159.5 Dto. por 12 meses, luego 127.60 127.60",CUOTA,159.5,"159.5 Dto. por 12 meses, luego 127.60 127.60",Apple iPhone 13 Pro Max 128GB,,,
"Apple iPhone 13 Pro Max 128GB|CUOTA|S/ 0 18 CUOTAS DE: 359 |159.5 Dto. por 12 meses, luego 127.60 127.60",CUOTA,159.5,"159.5 Dto. por 12 meses, luego 127.60 127.60",Apple iPhone 13 Pro Max 128GB,,,
"Apple iPhone 13 Pro Max 128GB|CONTADO|19% dto. EXCLUSIVO ONLINE 5850 4749 |209.5 Dto. por 12 meses, luego 167.50 167.50",CONTADO,209.5,"209.5 Dto. por 12 meses, luego 167.50 167.50",Apple iPhone 13 Pro Max 128GB,,,EXCLUSIVO ONLINE 5850 4749 
"Apple iPhone 13 Pro Max 128GB|CUOTA|S/ 0 12 CUOTAS DE: 471 |209.5 Dto. por 12 meses, luego 167.50 167.50",CUOTA,209.5,"209.5 Dto. por 12 meses, luego 167.50 167.50",Apple iPhone 13 Pro Max 128GB,,,
"Apple iPhone 13 Pro Max 128GB|CUOTA|S/ 0 18 CUOTAS DE: 359 |209.5 Dto. por 12 meses, luego 167.50 167.50",CUOTA,209.5,"209.5 Dto. por 12 meses, luego 167.50 167.50",Apple iPhone 13 Pro Max 128GB,,,
"Samsung Galaxy A53|CONTADO|44% dto. EXCLUSIVO ONLINE 2520 1529 |39.9 Dto. por 12 meses, luego 31.95 31.95",CONTADO,39.9,"39.9 Dto. por 12 meses, luego 31.95 31.95",Samsung Galaxy A53,,,EXCLUSIVO ONLINE 2520 1529 
"Samsung Galaxy A53|CUOTA|S/ 0 18 CUOTAS DE: 145 |39.9 Dto. por 12 meses, luego 31.95 31.95",CUOTA,39.9,"39.9 Dto. por 12 meses, luego 31.95 31.95",Samsung Galaxy A53,,,
"Samsung Galaxy A53|CONTADO|44% dto. EXCLUSIVO ONLINE 2520 1529 |55.9 Dto. por 12 meses, luego 44.75 44.75",CONTADO,55.9,"55.9 Dto. por 12 meses, luego 44.75 44.75",Samsung Galaxy A53,,,EXCLUSIVO ONLINE 2520 1529 
"Samsung Galaxy A53|CUOTA|S/ 1169 12 CUOTAS DE: 98 |55.9 Dto. por 12 meses, luego 44.75 44.75",CUOTA,55.9,"55.9 Dto. por 12 meses, luego 44.75 44.75",Samsung Galaxy A53,,,
"Samsung Galaxy A53|CUOTA|S/ 0 18 CUOTAS DE: 145 |55.9 Dto. por 12 meses, luego 44.75 44.75",CUOTA,55.9,"55.9 Dto. por 12 meses, luego 44.75 44.75",Samsung Galaxy A53,,,
"Samsung Galaxy A53|CONTADO|44% dto. EXCLUSIVO ONLINE 2520 1419 |74.9 Dto. por 12 meses, luego 59.95 59.95",CONTADO,74.9,"74.9 Dto. por 12 meses, luego 59.95 59.95",Samsung Galaxy A53,,,EXCLUSIVO ONLINE 2520 1419 
"Samsung Galaxy A53|CUOTA|S/ 1029 12 CUOTAS DE: 97 |74.9 Dto. por 12 meses, luego 59.95 59.95",CUOTA,74.9,"74.9 Dto. por 12 meses, luego 59.95 59.95",Samsung Galaxy A53,,,
"Samsung Galaxy A53|CUOTA|S/ 0 18 CUOTAS DE: 135 |74.9 Dto. por 12 meses, luego 59.95 59.95",CUOTA,74.9,"74.9 Dto. por 12 meses, luego 59.95 59.95",Samsung Galaxy A53,,,
"Samsung Galaxy A53|CONTADO|44% dto. EXCLUSIVO ONLINE 2520 1419 |89.9 Dto. por 12 meses, luego 71.95 71.95",CONTADO,89.9,"89.9 Dto. por 12 meses, luego 71.95 71.95",Samsung Galaxy A53,,,EXCLUSIVO ONLINE 2520 1419 
"Samsung Galaxy A53|CUOTA|S/ 889 12 CUOTAS DE: 97 |89.9 Dto. por 12 meses, luego 71.95 71.95",CUOTA,89.9,"89.9 Dto. por 12 meses, luego 71.95 71.95",Samsung Galaxy A53,,,
"Samsung Galaxy A53|CUOTA|S/ 0 18 CUOTAS DE: 132 |89.9 Dto. por 12 meses, luego 71.95 71.95",CUOTA,89.9,"89.9 Dto. por 12 meses, luego 71.95 71.95",Samsung Galaxy A53,,,
"Samsung Galaxy A53|CONTADO|44% dto. EXCLUSIVO ONLINE 2520 1419 |99.9 Dto. por 12 meses, luego 79.95 79.95",CONTADO,99.9,"99.9 Dto. por 12 meses, luego 79.95 79.95",Samsung Galaxy A53,,,EXCLUSIVO ONLINE 2520 1419 
"Samsung Galaxy A53|CUOTA|S/ 889 12 CUOTAS DE: 97 |99.9 Dto. por 12 meses, luego 79.95 79.95",CUOTA,99.9,"99.9 Dto. por 12 meses, luego 79.95 79.95",Samsung Galaxy A53,,,
"Samsung Galaxy A53|CUOTA|S/ 0 18 CUOTAS DE: 132 |99.9 Dto. por 12 meses, luego 79.95 79.95",CUOTA,99.9,"99.9 Dto. por 12 meses, luego 79.95 79.95",Samsung Galaxy A53,,,
"Samsung Galaxy A53|CONTADO|44% dto. EXCLUSIVO ONLINE 2520 1419 |109.9 Dto. por 12 meses, luego 87.95 87.95",CONTADO,109.9,"109.9 Dto. por 12 meses, luego 87.95 87.95",Samsung Galaxy A53,,,EXCLUSIVO ONLINE 2520 1419 
"Samsung Galaxy A53|CUOTA|S/ 839 12 CUOTAS DE: 91 |109.9 Dto. por 12 meses, luego 87.95 87.95",CUOTA,109.9,"109.9 Dto. por 12 meses, luego 87.95 87.95",Samsung Galaxy A53,,,
"Samsung Galaxy A53|CUOTA|S/ 0 18 CUOTAS DE: 132 |109.9 Dto. por 12 meses, luego 87.95 87.95",CUOTA,109.9,"109.9 Dto. por 12 meses, luego 87.95 87.95",Samsung Galaxy A53,,,
"Samsung Galaxy A53|CONTADO|44% dto. EXCLUSIVO ONLINE 2520 1419 |129.9 Dto. por 12 meses, luego 103.95 103.95",CONTADO,129.9,"129.9 Dto. por 12 meses, luego 103.95 103.95",Samsung Galaxy A53,,,EXCLUSIVO ONLINE 2520 1419 
"Samsung Galaxy A53|CUOTA|S/ 779 12 CUOTAS DE: 96 |129.9 Dto. por 12 meses, luego 103.95 103.95",CUOTA,129.9,"129.9 Dto. por 12 meses, luego 103.95 103.95",Samsung Galaxy A53,,,
"Samsung Galaxy A53|CUOTA|S/ 0 18 CUOTAS DE: 132 |129.9 Dto. por 12 meses, luego 103.95 103.95",CUOTA,129.9,"129.9 Dto. por 12 meses, luego 103.95 103.95",Samsung Galaxy A53,,,
"Samsung Galaxy A53|CONTADO|44% dto. EXCLUSIVO ONLINE 2520 1419 |159.5 Dto. por 12 meses, luego 127.60 127.60",CONTADO,159.5,"159.5 Dto. por 12 meses, luego 127.60 127.60",Samsung Galaxy A53,,,EXCLUSIVO ONLINE 2520 1419 
"Samsung Galaxy A53|CUOTA|S/ 779 12 CUOTAS DE: 96 |159.5 Dto. por 12 meses, luego 127.60 127.60",CUOTA,159.5,"159.5 Dto. por 12 meses, luego 127.60 127.60",Samsung Galaxy A53,,,
"Samsung Galaxy A53|CUOTA|S/ 0 18 CUOTAS DE: 132 |159.5 Dto. por 12 meses, luego 127.60 127.60",CUOTA,159.5,"159.5 Dto. por 12 meses, luego 127.60 127.60",Samsung Galaxy A53,,,
"Samsung Galaxy A53|CONTADO|44% dto. EXCLUSIVO ONLINE 2520 1419 |209.5 Dto. por 12 meses, luego 167.50 167.50",CONTADO,209.5,"209.5 Dto. por 12 meses, luego 167.50 167.50",Samsung Galaxy A53,,,EXCLUSIVO ONLINE 2520 1419 
"Samsung Galaxy A53|CUOTA|S/ 709 12 CUOTAS DE: 102 |209.5 Dto. por 12 meses, luego 167.50 167.50",CUOTA,209.5,"209.5 Dto. por 12 meses, luego 167.50 167.50",Samsung Galaxy A53,,,
"Samsung Galaxy A53|CUOTA|S/ 0 18 CUOTAS DE: 132 |209.5 Dto. por 12 meses, luego 167.50 167.50",CUOTA,209.5,"209.5 Dto. por 12 meses, luego 167.50 167.50",Samsung Galaxy A53,,,
